4.2242538e+08 	 5.5277705e+03 	 4.4591286e+02 
1.5491733e+10 	 5.4928786e+03 	 2.2459496e+03 
4.1380906e+10 	 6.0103533e+03 	 3.2501245e+03 
1.3286000e+14 	 3.3288000e+01 	 2.1000000e-01 
2.1542500e+14 	 2.0006000e+01 	 2.0100000e-01 
2.9799000e+14 	 1.3745000e+01 	 2.6000000e-01 
3.8055500e+14 	 1.0221000e+01 	 2.9300000e-01 
4.6312100e+14 	 8.0060000e+00 	 3.0200000e-01 
5.4568600e+14 	 6.5080000e+00 	 3.0400000e-01 
6.2825100e+14 	 5.4380000e+00 	 3.0100000e-01 
7.1081600e+14 	 4.6420000e+00 	 2.9400000e-01 
7.9338200e+14 	 4.0310000e+00 	 2.8600000e-01 
8.7594700e+14 	 3.5490000e+00 	 2.7700000e-01 
4.9000000e+14 	 7.8740000e+00 	 3.8900000e-01 
7.6911600e+14 	 4.6880000e+00 	 3.2200000e-01 
1.0482300e+15 	 3.2820000e+00 	 3.2700000e-01 
1.3273500e+15 	 2.5000000e+00 	 3.0400000e-01 
1.6064700e+15 	 2.0060000e+00 	 2.7000000e-01 
7.2533849e+16 	 3.1454132e-03 	 8.1102811e-04 
1.2088975e+17 	 1.2093418e-03 	 2.1002459e-04 
2.4177950e+17 	 3.8159899e-04 	 4.7890456e-05 
3.1431335e+17 	 2.6207297e-04 	 2.6235238e-05 
5.5609284e+17 	 1.3390092e-04 	 9.2104748e-06 
7.9787234e+17 	 9.4550061e-05 	 5.8024510e-06 
1.0396518e+18 	 7.5460076e-05 	 4.4356327e-06 
1.2814313e+18 	 6.3800486e-05 	 3.6248764e-06 
1.5232108e+18 	 5.5702007e-05 	 2.8823406e-06 
1.7649903e+18 	 4.9789175e-05 	 2.2582237e-06 
2.0067698e+18 	 4.5078202e-05 	 1.7095763e-06 
2.2485493e+18 	 4.1540387e-05 	 1.6108717e-06 
2.4903288e+18 	 3.8680891e-05 	 1.6398133e-06 
4.6663443e+18 	 2.5125794e-05 	 2.1979108e-06 
7.0841393e+18 	 1.9213833e-05 	 2.6781020e-06 
9.5019342e+18 	 1.5845571e-05 	 2.7502484e-06 
1.1919729e+19 	 1.3672021e-05 	 2.6963033e-06 
1.4337524e+19 	 1.2092452e-05 	 2.5719082e-06 
1.6755319e+19 	 1.0943999e-05 	 2.5477938e-06 
1.9173114e+19 	 1.0027727e-05 	 2.4896942e-06 
2.1590909e+19 	 9.2908297e-06 	 2.4183044e-06 
2.4008704e+19 	 8.6617462e-06 	 2.3339058e-06 
4.2798410e+22 	 1.0768052e-07 	 1.7057787e-08 
1.3444020e+23 	 3.7201760e-08 	 4.3234959e-09 
4.2193913e+23 	 1.3064125e-08 	 1.6798980e-09 
1.3243327e+24 	 3.3752531e-09 	 7.8751270e-10 
4.1565235e+24 	 9.4110054e-10 	 4.2551310e-10 
1.9118122e+25 	 1.3666823e-10 	 3.4967189e-11 
4.1977986e+25 	 1.4202968e-11 	 4.6253767e-12 
9.7920344e+25 	 1.8670686e-12 	 6.0803402e-13 
