FERMI	1-10GEV	7.65E23	2.45E-13	0.98E-13	1.87E-12	0.75E-12	1250	2017-03-01	57813
FERMI	10-100GEV	7.65E24	6.49E-14	3.87E-14	4.96E-12	2.96E-12	400	2017-03-01	57813
FERMI	100GEV-1TEV	7.65E25	6.88E-14	0	5.26E-11	0	350	2017-03-01	57813
HESS	250-380GEV	7.31E25	4.40E-15	0	3.22E-12	0	360	2017-03-28	57840
HESS	380-603GEV	1.16E26	1.24E-15	0	1.44E-12	0	360	2017-03-28	57840
HESS	603-955GEV	1.83E26	5.31E-16	0	9.74E-13	0	360	2017-03-28	57840
HESS	955-1512GEV	2.91E26	3.05E-16	0	8.88E-13	0	360	2017-03-28	57840
HESS	1512-2397GEV	4.61E26	1.67E-16	0	7.70E-13	0	360	2017-03-28	57840
MAGIC	126-199GEV	3.82E25	3.68E-15	2.14E-15	1.40E-13	0.82E-13	240	2017-03-22	57834
MAGIC	199-315GEV	6.06E25	1.10E-15	0.77E-15	6.67E-13	4.68E-13	210	2017-03-22	57834
MAGIC	315-500GEV	9.60E25	3.99E-16	3.69E-16	3.83E-13	3.54E-13	180	2017-03-22	57834
MAGIC	500-792GEV	1.52E26	5.08E-16	1.94E-16	7.72E-13	2.94E-13	160	2017-03-22	57834
MAGIC	792-1256GEV	2.41E26	1.95E-16	1.00E-6	4.70E-13	2.41E-13	150	2017-03-22	57834
MAGIC	1256-1991GEV	3.82E26	2.15E-16	0.86E-16	8.21E-13	3.30E-13	130	2017-03-22	57834
VERITAS	200-281GEV	5.73E25	1.74E-14	0	9.97E-12	0	360	2017-03-22	57834
VERITAS	281-397GEV	8.10E25	2.10E-15	0	1.70E-12	0	360	2017-03-22	57834
VERITAS	398-562GEV	1.14E26	6.42E-16	3.42E-16	7.32E-13	3.90E-14	360	2017-03-22	57834
VERITAS	562-793GEV	1.61E26	4.02E-16	2.30E-16	6.47E-13	3.70E-13	360	2017-03-22	57834
VERITAS	793-1120GEV	2.28E26	4.22E-16	0	9.62E-13	0	360	2017-03-22	57834
VERITAS	120-1583GEV	3.22E26	4.51E-16	0	1.13E-12	0	360	2017-03-22	57834
